Başlık,Konum,Oda Sayısı,Metrekare,Kat,Fiyat,Yapı Yaşı,Eşya,Isıtma,URL
Eşsiz Konum! Kalamış Sahil Park Üstü Ev/ofis *açklamayı Okuyunz*,İstanbul / Kadıköy / Zühtüpaşa Mah.,2+1,79,5,76500,15,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-kadikoy-zuhtupasa-kiralik/daire/164937-83
Yol Yalı Dairesi Eşyalı Veya Boş Boğaza Hakim İşyerine Uygun,İstanbul / Beşiktaş / Arnavutköy Mah.,2+1,295,4,376000,0,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-arnavutkoy-kiralik/yali-dairesi/154389-25
Taksim Elysium Soul Kısa Döneme Uygun Full Eşyalı 1+1 Kiralık,İstanbul / Beyoğlu / Hacıahmet Mah.,1+1,50,12,50500,10,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-haciahmet-kiralik/residence/167741-18
Elysium Soul Beyoğlu İç Bahçe Cepheli 1+1 Kiralık,İstanbul / Beyoğlu / Hacıahmet Mah.,1+1,51,5,78000,2,Eşyalı,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-beyoglu-haciahmet-kiralik/residence/167741-13
Elysium Residance Kurtuluş 1+1 Full Eşyalı Kiralık,İstanbul / Şişli / Feriköy Mah.,1+1,57,10,51500,21,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-sisli-ferikoy-kiralik/residence/167741-16
Ümraniye 1+1 Kiralık Daire,İstanbul / Ümraniye / Atatürk Mah.,1+1,54,12,28000,3,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-umraniye-ataturk-kiralik/daire/155371-34
"Pendik Çamlık Mh. Crystalpark Sitesi ,Bahçeli, Dubleks Kiralık",İstanbul / Pendik / Çamlık Mah.,2+1,89,6,57000,7,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-pendik-camlik-kiralik/daire/166901-8
Çizmeci Metropark Sitesi 2+1 Kiralık Daire,İstanbul / Çekmeköy / Güngören Mah.,2+1,74,1,54000,7,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-gungoren-kiralik/daire/54389-2872
Çekmeköyde Merkezi Konumda Yüksek Giriş 1+1 Kiralık Daire,İstanbul / Çekmeköy / Aydınlar Mah.,1+1,55,0,34500,12,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-cekmekoy-aydinlar-kiralik/daire/54389-2882
Çekmeöy Taşdelen Merkez Açık Otoparklı Kiralık 2+1 Hazır Daire,İstanbul / Çekmeköy / Taşdelen Mah.,2+1,87,5,49000,7,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-cekmekoy-tasdelen-kiralik/daire/54389-2836
Alemdağ Çamlıkent Sitesi Eşyalı Yada Eşyasız Kiralık 4+2 Villa,İstanbul / Çekmeköy / Çatalmeşe Mah.,4+2,412,3,213500,14,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-cekmekoy-catalmese-kiralik/villa/54389-2841
Taşdelende Çizmeci Konsept Sitesinde Kiralık 2+1 Daire,İstanbul / Çekmeköy / Taşdelen Mah.,2+1,81,2,55000,5,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-cekmekoy-tasdelen-kiralik/daire/54389-2861
"Yeditepe Ünv. Yakın, Faturalar Dahil/ 1+1 Kiralık Teraslı Daire",İstanbul / Maltepe / Fındıklı Mah.,1+1,57,10,37500,9,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-maltepe-findikli-kiralik/daire/155803-6
Çekmeköy Taşdelende Butik Site İçerisinde Kiralık 1+1 Daire,İstanbul / Çekmeköy / Taşdelen Mah.,1+1,61,10,28500,18,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-cekmekoy-tasdelen-kiralik/daire/54389-2857
Sancaktepe Merkezi Metroya Yakın 3+1 Kiralık Daire,İstanbul / Sancaktepe / İnönü Mah.,3+1,115,8,83500,18,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sancaktepe-inonu-kiralik/daire/54389-2859
Çekmeköy Cıty Ambıance Sitesi 1+1 Kiralık Daire,İstanbul / Çekmeköy / Çatalmeşe Mah.,1+1,55,12,31000,17,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-cekmekoy-catalmese-kiralik/daire/54389-2860
Sancaktepe Merkezi Konumda Metroya Yakın 4+2 Kiralık,İstanbul / Sancaktepe / İnönü Mah.,4+2,235,2,158500,10,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-sancaktepe-inonu-kiralik/daire/54389-2850
Sancaktepe Kapalı Otoparklı Metroya Yakın 2+1 Kiralık Daire,İstanbul / Sancaktepe / İnönü Mah.,2+1,82,11,50000,7,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-sancaktepe-inonu-kiralik/daire/54389-2856
Kalp Vakfı Yakını | Fulya 19 Mayıs | Jakuzili Lüks 3+1 Ki,İstanbul / Şişli / 19 Mayıs Mah.,3+1,120,3,152500,7,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-19-mayis-kiralik/daire/69537-91227
Emirhan Caddesi Üzerinde (boş) Kiralık 3+1 Daire,İstanbul / Beşiktaş / Dikilitaş Mah.,3+1,122,12,74500,16,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/155371-41
Armağanevler Mah.Site İçerisinde 2+1 Kiralık Daire,İstanbul / Ümraniye / Armağanevler Mah.,2+1,77,8,40000,16,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-umraniye-armaganevler-kiralik/daire/155371-46
"Ferhatpaşa Mah. 2+1 Asansörlü, Ayrı Mutfak, Kapalı Balkon",İstanbul / Ataşehir / Ferhatpaşa Mah.,2+1,91,9,48000,9,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-atasehir-ferhatpasa-kiralik/daire/155803-16
Göktürk Ormanlarının İçinde | Seba Evlerinde 1+1 Kiralık Daire,İstanbul / Eyüpsultan / Göktürk Merkez Mah.,1+1,68,3,38500,23,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/160238-29
Çekmeköy Soğukpınar Da Otoparklı Ankastreli 2+1 Arakat,İstanbul / Çekmeköy / Soğukpınar Mah.,2+1,96,8,48000,20,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-cekmekoy-sogukpinar-kiralik/daire/134838-69
"Ultra Lüks Teraslı, Özel Tasarım 2+2 Rezidans Daire",İstanbul / Ataşehir / Küçükbakkalköy Mah.,2+2,241,10,157000,7,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-atasehir-kucukbakkalkoy-kiralik/daire/134838-68
Liv Marmara Kiralık Daire Seçenekleri,İstanbul / Beylikdüzü / Yakuplu Mah.,2+1,84,11,47500,6,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-beylikduzu-yakuplu-kiralik/daire/164308-4
Beylikdüzü / Kameroğlu / Metrohome Projesi / Büyük Tip Balkonlu,İstanbul / Beylikdüzü / Cumhuriyet Mah.,2+1,90,8,66500,0,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-kiralik/daire/164308-5
Halitağaya Yakın Cadde Üzeri Ara Kat,İstanbul / Kadıköy / Rasimpaşa Mah.,2+1,84,5,102500,7,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-kadikoy-rasimpasa-kiralik/daire/40593-14
Site Mah Erla Park Sitesi Kiralık Boş 3+1 Daire,İstanbul / Ümraniye / Site Mah.,3+1,110,6,75500,9,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-umraniye-site-kiralik/daire/40593-11
Ev-Ser’den Alibeyköy Emniyettepe Bilgi Üniv Ful Eşyalı Kiralık,İstanbul / Eyüpsultan / Esentepe Mah.,2+1,91,4,48000,14,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-eyupsultan-esentepe-kiralik/daire/119830-1165
Polat Piyalepaşa Çarşı Karşısı/doğa Koleji Yanı/ 3+1 /otoparklı,İstanbul / Beyoğlu / Kaptanpaşa Mah.,3+1,114,5,135500,15,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-kaptanpasa-kiralik/daire/167972-3
Şişli'de Eşyalı Oda Faturalar Dahil Erkekler İçin,İstanbul / Şişli / 19 Mayıs Mah.,2+1,78,7,88000,17,Eşyalı,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-sisli-19-mayis-kiralik/daire/167980-8
Yeni Binada-Full Eşyalı-Öğrenciye-Bekara-Asansaörlü-Şirin Daire,İstanbul / Beşiktaş / Abbasağa Mah.,2+1,83,4,53000,1,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-besiktas-abbasaga-kiralik/daire/167446-38
Kiralayın Taşının-Merkez'de (eşyasız 45 000 Tl) (eşyalı 50 000 Tl  )mimardan Lüks Dekorlu,İstanbul / Beşiktaş / Sinanpaşa Mah.,2+1,94,4,45000,25,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-besiktas-sinanpasa-kiralik/daire/167446-34
Kavaklı Dereağzı Mahallesi Kiralık Vılla,İstanbul / Beylikdüzü / Dereağzı Mah.,2+1,98,8,55500,13,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-beylikduzu-dereagzi-kiralik/villa/158631-74
"Hd Gayrimenkul'den Gülşah Sokak'ta Çok Kullanışlı, Balkonlu Daire!",İstanbul / Kağıthane / Şirintepe Mah.,2+1,87,12,33000,16,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-kagithane-sirintepe-kiralik/daire/165841-10
Kristal Evler 2.Kat 3+1 Kiralık Daire,İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.,3+1,118,3,71000,2,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/167498-16
Şişli Feriköy Civelek Sokak'ta Kiralık Daire,İstanbul / Şişli / Paşa Mah.,2+1,92,8,78500,14,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-pasa-kiralik/daire/136790-104
Sima Garden Sitesi Bahçeli Geniş Peyzaj Manzaralı 1+1,İstanbul / Pendik / Yenişehir Mah.,1+1,54,1,38000,8,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/85988-383
Bekara Uygun Asansör 2 Ay Yok 7.Kat Kiralık 2+1 Daire,İstanbul / Pendik / Ahmet Yesevi Mah.,2+1,96,3,54500,11,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-pendik-ahmet-yesevi-kiralik/daire/85988-411
Berrak Sitesinde 2+1 Arakat Kiralık Daire,İstanbul / Pendik / Harmandere Mah.,2+1,86,10,58500,5,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-pendik-harmandere-kiralik/daire/85988-413
Sima Garden Sitesi Batı Cephe Giriş Kat Kullanışlı 2+1,İstanbul / Pendik / Yenişehir Mah.,2+1,93,0,43500,10,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/85988-352
Vıaporta Yürüme Mesafesinde Kiralık 2+1 Daire,İstanbul / Pendik / Harmandere Mah.,2+1,81,1,52500,23,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-pendik-harmandere-kiralik/daire/85988-410
Sima Garden Sitesi Büyük Tip Dübleks Manzaralı 2+1,İstanbul / Pendik / Yenişehir Mah.,2+1,76,4,63000,9,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/85988-397
Vıaport'a Komşu Lilyum Sitesinde 2+1 Kiralık Daire,İstanbul / Pendik / Harmandere Mah.,2+1,89,4,44000,6,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-pendik-harmandere-kiralik/daire/85988-419
Sima Garden Sitesi Büyük Manzaralı Üç Cepheli 3+1,İstanbul / Pendik / Yenişehir Mah.,3+1,121,11,71000,23,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/85988-391
Murat Gayrimenkulden Silivrikapıda Eşyalı Yarı Bodrum Daire,İstanbul / Fatih / Silivrikapı Mah.,2+1,91,3,38000,7,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-fatih-silivrikapi-kiralik/daire/133258-424
Florya'da Ultra Lüx Denız Manzaralı Dublex,İstanbul / Bakırköy / Şenlikköy Mah.,2+1,86,9,102500,11,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/160233-41
Florya'da Prestijli Kiralık Villa,İstanbul / Bakırköy / Şenlikköy Mah.,2+1,304,9,396000,17,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/villa/160233-18
Genyap Oxygene Komşu/4.Ara Kat/manzaralı/2+1,İstanbul / Kağıthane / Merkez Mah.,2+1,92,9,56500,9,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-merkez-kiralik/daire/167972-7
19.Mayıs Mah. /giriş Katı / 4+1 Full+full Eşyalı Kiralık,İstanbul / Şişli / 19 Mayıs Mah.,4+1,145,0,201500,4,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-19-mayis-kiralik/daire/167972-10
Florya Basınköy Teraslı 230 M2 Net Deniz Manzaralı 3+1 Daire,İstanbul / Bakırköy / Basınköy Mah.,3+1,230,12,123000,15,Eşyalı,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-bakirkoy-basinkoy-kiralik/daire/136685-2772
Pendik Hilal Konutlarında Kiralık  İçi Yapılı Büyük 3+1 Daire,İstanbul / Pendik / Şeyhli Mah.,3+1,123,2,88000,10,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-pendik-seyhli-kiralik/daire/159553-40
Ayışığından Yeni Binada 1+0 50 M2 Satılık Daire,İstanbul / Bahçelievler / Bahçelievler Mah.,1+0,50,1,14000,0,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/37150-3478
Eşyalı Kiralık Daire,İstanbul / Fatih / İskenderpaşa Mah.,2+1,90,9,53500,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-fatih-iskenderpasa-kiralik/daire/158130-294
Beyaz'dan Bostancı'da Yeni Binada 2+1 80m Kombili Balkonlu Fırsa,İstanbul / Kadıköy / Bostancı Mah.,2+1,84,3,90500,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-bostanci-kiralik/daire/167958-36
Bomonti Hilton'a Komşu 135m2 Asansörlü 3+1 Arakat Daire.,İstanbul / Şişli / Duatepe Mah.,3+1,135,2,133500,8,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-duatepe-kiralik/daire/158831-21
Kemer Country Resıdence'ta Özel Dekorasyonlu Yenilenmiş Bahçe Dubleksi,İstanbul / Eyüpsultan / Göktürk Merkez Mah.,2+1,88,7,53000,20,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/6231-13251
Büyükçekmece Mimaroba Kent Plus Sitesi 3+1 Kiralık Daire,İstanbul / Büyükçekmece / Mimaroba Mah.,3+1,123,11,54000,21,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-buyukcekmece-mimaroba-kiralik/daire/124073-115
Ev-Ser’den 5.Levent Korupark Acil Büyük Tip 4+1 Satılık,İstanbul / Eyüpsultan / 5. Levent Mah.,4+1,153,9,118500,25,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-eyupsultan-5-levent-kiralik/daire/119830-1166
""""" Libadiye Caddesinde 2 Oda 1 Salon 95 M2 2. Kat Geniş Balkonlu Ferah Daire!... """"",İstanbul / Üsküdar / Cumhuriyet Mah.,2+1,95,8,60000,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-cumhuriyet-kiralik/daire/141358-35
"Aktaş'tan Sultantepe'de,1+1,Bekara,Çalışana Uygun Kombili Giriş",İstanbul / Üsküdar / Sultantepe Mah.,1+1,55,1,31500,9,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-sultantepe-kiralik/daire/157913-204
Bahçelievler Çalışlar Caddesi Yakını Geniş Lüks Yeni Daire,İstanbul / Bahçelievler / Soğanlı Mah.,2+1,88,12,41500,17,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-bahcelievler-soganli-kiralik/daire/166434-27
Mavigöl Mh Kiralık 2+1 Amerikan Mutfaklı Çatı Katı Büyük Daire,İstanbul / Arnavutköy / Mavigöl Mah.,2+1,77,11,42000,6,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-arnavutkoy-mavigol-kiralik/daire/165906-31
Bolluca Emlak Kiralık 1+1 Daire Mavigöl Mah. Sıfır Arakat Daire,İstanbul / Arnavutköy / Mavigöl Mah.,1+1,61,6,27000,0,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-arnavutkoy-mavigol-kiralik/daire/165906-32
İstanbul Şişli Feriköy'de Kiralık Daire,İstanbul / Şişli / Feriköy Mah.,2+1,80,6,106000,13,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-ferikoy-kiralik/daire/128114-152
Bahçeşehir De Acil Kelepir Kiralık Daire,İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.,2+1,84,3,52500,7,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/167498-6
Efe Emlak'tan Metro Dibi Caddeye Paralel Üniversite Yakını,İstanbul / Eyüpsultan / Güzeltepe Mah.,2+1,92,3,56500,22,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-eyupsultan-guzeltepe-kiralik/daire/167915-14
Kavacık Otağtepe’de Merkezi Konumda | Boğaz Manzaralı | Önü Açık | Asansörlü Süper Daire,İstanbul / Beykoz / Kavacık Mah.,2+1,84,9,47500,11,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-beykoz-kavacik-kiralik/daire/40554-911
Şişli Merkezde Günlük Kiralık Daireler,İstanbul / Şişli / Merkez Mah.,2+1,93,3,100500,17,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/daire/123985-22
